30,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,30,30,30
30,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
30,16,16,16,16,16,16,16,16,16,16,27,27,27,27,27,16,16,16,16,16,16,16,16,16,16,16,16,16,16
30,16,16,16,16,16,16,16,16,16,16,16,30,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
30,31,31,31,31,31,16,16,16,16,16,16,30,16,16,16,16,16,16,16,31,31,31,31,31,16,16,16,16,16
16,16,16,16,16,16,16,16,16,16,16,16,30,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
16,16,16,16,16,16,16,16,27,27,27,27,30,16,16,16,16,16,16,16,16,16,16,16,16,16,16,31,31,31
16,16,16,16,16,16,16,16,16,16,16,16,30,31,31,31,16,16,16,16,31,31,31,16,16,16,16,30,30,30
16,16,16,16,16,16,16,16,16,16,16,16,30,30,30,30,16,16,16,16,30,30,30,16,16,16,16,16,16,30
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,30,16,16,16,16,16,16,16
31,31,31,31,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,30,16,16,16,16,16,16,16
30,30,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,30,30,16,16,30
30,30,16,16,16,16,16,16,16,16,16,31,31,16,16,16,16,16,16,16,16,16,16,16,16,16,30,16,16,30
30,30,16,16,16,31,31,16,16,16,16,16,30,31,16,16,16,16,31,31,31,31,16,16,16,16,30,16,16,16
30,30,16,16,16,16,16,16,16,16,16,16,30,30,16,16,16,31,30,30,30,16,16,16,16,16,30,16,16,16
30,30,16,16,16,16,16,16,16,16,16,16,30,30,16,16,30,30,16,16,16,16,16,16,31,31,30,16,30,30
30,16,16,16,16,16,16,31,31,16,16,30,30,16,16,30,30,30,16,16,16,16,16,16,16,30,30,16,30,30
16,16,16,16,16,16,16,16,16,16,16,30,16,16,16,30,30,16,16,16,16,16,16,16,16,30,16,16,16,16
16,16,16,16,16,16,16,16,16,16,16,30,16,16,16,16,30,16,16,16,31,31,16,16,16,30,16,16,16,16
16,16,16,16,16,16,16,16,16,16,16,30,16,16,16,16,30,16,16,16,30,16,16,16,16,30,30,16,16,16
30,30,16,16,16,31,31,31,31,16,16,30,30,16,16,30,30,30,30,30,30,16,16,16,16,16,24,16,16,16
30,30,16,16,16,16,16,30,30,16,16,16,30,16,30,30,16,16,16,16,30,16,16,16,16,16,24,16,16,16
30,30,16,16,16,16,16,30,30,16,16,16,16,16,30,16,16,16,16,16,30,16,16,16,16,30,30,30,16,16
30,30,16,16,16,16,16,30,16,16,16,16,16,16,16,16,16,16,16,16,30,31,31,16,16,30,16,16,16,16
30,30,16,16,16,16,16,16,16,16,31,31,30,16,16,16,30,30,16,16,30,30,16,16,16,30,16,16,16,16
30,30,16,16,16,16,16,16,16,16,16,30,30,16,16,16,30,30,16,16,30,30,16,16,16,30,16,16,16,16
30,30,16,16,16,16,16,30,30,16,16,30,30,16,16,16,30,30,16,16,16,16,16,16,16,30,30,16,16,16
30,30,16,16,16,16,16,30,30,16,16,30,30,16,16,16,30,30,16,16,16,16,16,31,31,30,30,16,16,16
30,30,16,16,16,16,16,30,30,16,16,30,30,16,18,18,30,30,30,16,16,16,16,30,30,30,30,16,16,16
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
